report_period,federal_district,region,административный_персонал,доля_людей_питающихся_в_столовой,доход_банка,количество_клиентов,общее_количество_людей_в_вузе,объем_транзакций,средний_тариф_банка,средняя_стоимость_обеда,студенты
Январь 2022,Центральный ФО,г. Москва,4975,66.61,,57433,86223,21959507.55,2.45,382.35,81248
Февраль 2022,Центральный ФО,г. Москва,4609,73.3,367578.76,61060,83302,24182813.0,1.52,396.05,78693
Март 2022,Центральный ФО,г. Москва,4718,71.75,594212.1,60694,84591,21686573.14,2.74,357.31,79873
Апрель 2022,Центральный ФО,г. Москва,4811,66.17,686303.04,56623,85573,21787397.94,3.15,384.78,80762
Май 2022,Центральный ФО,г. Москва,4971,59.65,431679.96,51995,87167,19100883.2,2.26,367.36,82196
Июнь 2022,Центральный ФО,г. Москва,4528,27.63,242271.78,23137,83742,8842035.92,2.74,382.16,79214
Июль 2022,Центральный ФО,г. Москва,4954,12.93,62250.68,10966,84811,3866501.94,1.61,352.59,79857
Август 2022,Центральный ФО,г. Москва,4649,17.1,181118.55,14071,82290,5280424.17,3.43,375.27,77641
Сентябрь 2022,Центральный ФО,г. Москва,4645,75.01,602933.87,62260,83003,24410278.2,2.47,392.07,78358
Октябрь 2022,Центральный ФО,г. Москва,4784,74.36,510357.82,63098,84856,23627677.08,2.16,374.46,80072
Ноябрь 2022,Центральный ФО,г. Москва,4963,70.3,638664.88,59459,84579,22567663.45,2.83,379.55,79616
Декабрь 2022,Центральный ФО,г. Москва,4788,47.94,472506.31,40818,85146,16293321.06,2.9,399.17,80358
Январь 2023,Центральный ФО,г. Москва,5179,68.78,754126.46,65616,95401,27623679.84,2.73,420.99,90222
Февраль 2023,Центральный ФО,г. Москва,5355,66.95,759349.43,63147,94321,28228603.41,2.69,447.03,88966
Март 2023,Центральный ФО,г. Москва,5335,66.85,834363.85,63988,95719,25751970.6,3.24,402.45,90384
Апрель 2023,Центральный ФО,г. Москва,5288,67.96,705688.68,64831,95397,26136617.65,2.7,403.15,90109
Май 2023,Центральный ФО,г. Москва,5364,55.59,633036.98,52590,94604,23532973.2,2.69,447.48,89240
Июнь 2023,Центральный ФО,г. Москва,5429,27.23,185085.27,25570,93906,9844961.4,1.88,385.02,88477
Июль 2023,Центральный ФО,г. Москва,5343,13.69,98634.67,12576,91863,5604242.88,1.76,445.63,86520
Август 2023,Центральный ФО,г. Москва,5440,16.27,137189.05,15485,95180,6471181.5,2.12,417.9,89740
Сентябрь 2023,Центральный ФО,г. Москва,5085,70.13,640235.55,65408,93267,27014158.08,2.37,413.01,88182
Октябрь 2023,Центральный ФО,г. Москва,5191,70.34,424456.89,65185,92672,28109727.55,1.51,431.23,87481
Ноябрь 2023,Центральный ФО,г. Москва,5133,72.23,832401.8,67622,93621,28703510.34,2.9,424.47,88488
Декабрь 2023,Центральный ФО,г. Москва,5478,45.59,494171.12,42847,93985,19228448.19,2.57,448.77,88507
Январь 2024,Центральный ФО,г. Москва,5676,65.79,709224.47,65322,99290,31106336.4,2.28,476.2,93614
Февраль 2024,Центральный ФО,г. Москва,6064,72.99,758422.84,75554,103514,33264159.58,2.28,440.27,97450
Март 2024,Центральный ФО,г. Москва,5757,66.1,837991.21,67353,101897,32230431.09,2.6,478.53,96140
Апрель 2024,Центральный ФО,г. Москва,5494,69.37,777490.18,70529,101672,31995480.85,2.43,453.65,96178
Май 2024,Центральный ФО,г. Москва,5718,55.35,434804.24,57726,104293,25427148.48,1.71,440.48,98575
Июнь 2024,Центральный ФО,г. Москва,5597,25.68,300563.76,26602,103593,11786814.16,2.55,443.08,97996
Июль 2024,Центральный ФО,г. Москва,5761,14.01,137801.62,14403,102812,6043930.89,2.28,419.63,97051
Август 2024,Центральный ФО,г. Москва,5661,16.86,204758.38,17189,101953,7445759.13,2.75,433.17,96292
Сентябрь 2024,Центральный ФО,г. Москва,6024,71.0,1154151.33,74093,104357,36408559.27,3.17,491.39,98333
Октябрь 2024,Центральный ФО,г. Москва,5806,75.83,1099022.66,76002,100227,33920452.62,3.24,446.31,94421
Ноябрь 2024,Центральный ФО,г. Москва,5835,66.85,1011732.72,69550,104040,32848465.0,3.08,472.3,98205
Декабрь 2024,Центральный ФО,г. Москва,5984,46.11,572041.11,47310,102603,22258408.8,2.57,470.48,96619
Январь 2022,Центральный ФО,Московская обл.,2179,69.58,235498.77,32813,47160,10802695.86,2.18,329.22,44981
Февраль 2022,Центральный ФО,Московская обл.,2240,67.26,304868.81,32503,48325,9617312.67,3.17,295.89,46085
Март 2022,Центральный ФО,Московская обл.,2393,68.49,202551.75,33325,48657,11129217.0,1.82,333.96,46264
Апрель 2022,Центральный ФО,Московская обл.,2368,68.41,163093.52,32810,47961,10005737.6,1.63,304.96,45593
Май 2022,Центральный ФО,Московская обл.,2155,58.77,164315.61,27600,46964,8298768.0,1.98,300.68,44809
Июнь 2022,Центральный ФО,Московская обл.,2298,26.84,79709.01,12861,47918,3795666.93,2.1,295.13,45620
Июль 2022,Центральный ФО,Московская обл.,2240,13.15,63431.36,6042,45949,2079716.82,3.05,344.21,43709
Август 2022,Центральный ФО,Московская обл.,2332,16.68,80977.18,8053,48281,2726504.21,2.97,338.57,45949
Сентябрь 2022,Центральный ФО,Московская обл.,2314,74.35,385238.58,35362,47562,11070074.1,3.48,313.05,45248
Октябрь 2022,Центральный ФО,Московская обл.,2378,70.25,168490.86,33555,47766,10150051.95,1.66,302.49,45388
Ноябрь 2022,Центральный ФО,Московская обл.,2151,68.9,349321.26,32451,47099,10781520.24,3.24,332.24,44948
Декабрь 2022,Центральный ФО,Московская обл.,2151,46.01,199156.31,21465,46653,7268478.3,2.74,338.62,44502
Январь 2023,Центральный ФО,Московская обл.,2504,69.0,379995.16,36796,53328,12969118.16,2.93,352.46,50824
Май 2024,Сибирский ФО,Иркутская обл.,1431,54.99,155592.54,16867,30673,4923814.64,3.16,291.92,29242
Февраль 2023,Центральный ФО,Московская обл.,2510,73.18,433242.73,38147,52128,14158259.05,3.06,371.15,49618
Март 2023,Центральный ФО,Московская обл.,2441,69.04,255559.63,35209,50999,12227733.61,2.09,347.29,48558
Апрель 2023,Центральный ФО,Московская обл.,2457,64.93,334805.13,33300,51287,12309012.0,2.72,369.64,48830
Май 2023,Центральный ФО,Московская обл.,2579,55.32,320271.74,28890,52225,9617769.9,3.33,332.91,49646
Июнь 2023,Центральный ФО,Московская обл.,2538,27.89,76603.16,14356,51477,4699580.16,1.63,327.36,48939
Ноябрь 2024,Сибирский ФО,Иркутская обл.,1520,70.99,186422.03,22046,31056,6255772.96,2.98,283.76,29536
Июль 2023,Центральный ФО,Московская обл.,2340,13.06,52479.09,6692,51241,2262029.84,2.32,338.02,48901
Август 2023,Центральный ФО,Московская обл.,2480,16.3,43225.68,8517,52255,2806862.52,1.54,329.56,49775
Сентябрь 2023,Центральный ФО,Московская обл.,2419,72.56,190212.51,38171,52607,12513980.64,1.52,327.84,50188
Октябрь 2023,Центральный ФО,Московская обл.,2347,73.62,230690.84,37133,50440,12960159.66,1.78,349.02,48093
Ноябрь 2023,Центральный ФО,Московская обл.,2485,69.51,315215.16,36211,52096,12813624.46,2.46,353.86,49611
Декабрь 2023,Центральный ФО,Московская обл.,2518,46.98,164655.55,24629,52425,8487399.69,1.94,344.61,49907
Январь 2024,Центральный ФО,Московская обл.,2678,67.03,464377.78,37090,55334,14603074.8,3.18,393.72,52656
Февраль 2024,Центральный ФО,Московская обл.,2646,70.23,331901.5,40418,57552,14621211.5,2.27,361.75,54906
Март 2024,Центральный ФО,Московская обл.,2541,69.56,308597.96,38465,55298,15664871.25,1.97,407.25,52757
Апрель 2024,Центральный ФО,Московская обл.,2810,65.89,440617.23,37160,56398,14541822.8,3.03,391.33,53588
Май 2024,Центральный ФО,Московская обл.,2869,58.06,375014.38,33616,57899,12755591.2,2.94,379.45,55030
Июнь 2024,Центральный ФО,Московская обл.,2638,25.96,137886.38,14301,55089,5628015.54,2.45,393.54,52451
Июль 2024,Центральный ФО,Московская обл.,2661,13.01,82389.09,7553,58061,3097334.24,2.66,410.08,55400
Август 2024,Центральный ФО,Московская обл.,2677,16.96,93302.92,9581,56492,3871490.48,2.41,404.08,53815
Сентябрь 2024,Центральный ФО,Московская обл.,2750,71.59,350258.46,41143,57471,16758778.19,2.09,407.33,54721
Октябрь 2024,Центральный ФО,Московская обл.,2770,71.21,397270.22,40606,57024,14991329.14,2.65,369.19,54254
Ноябрь 2024,Центральный ФО,Московская обл.,2608,68.82,389680.11,38680,56206,15402376.0,2.53,398.2,53598
Декабрь 2024,Центральный ФО,Московская обл.,2609,46.55,161026.41,26439,56799,10593842.91,1.52,400.69,54190
Январь 2022,Центральный ФО,Воронежская обл.,1581,68.81,174709.15,22178,32231,6173468.08,2.83,278.36,30650
Февраль 2022,Центральный ФО,Воронежская обл.,1432,68.96,184265.93,21234,30793,5484105.18,3.36,258.27,29361
Март 2022,Центральный ФО,Воронежская обл.,1469,70.18,142146.56,21572,30739,5206833.64,2.73,241.37,29270
Апрель 2022,Центральный ФО,Воронежская обл.,1512,66.96,94599.26,20651,30842,5169358.32,1.83,250.32,29330
Май 2022,Центральный ФО,Воронежская обл.,1459,59.39,116970.06,18618,31350,4935445.62,2.37,265.09,29891
Июнь 2022,Центральный ФО,Воронежская обл.,1417,25.48,36161.83,7956,31226,2078266.32,1.74,261.22,29809
Июль 2022,Центральный ФО,Воронежская обл.,1584,12.9,35763.18,4184,32438,1121102.8,3.19,267.95,30854
Август 2022,Центральный ФО,Воронежская обл.,1485,17.48,29427.99,5599,32034,1421642.09,2.07,253.91,30549
Сентябрь 2022,Центральный ФО,Воронежская обл.,1528,71.13,135099.96,22566,31726,6058294.02,2.23,268.47,30198
Октябрь 2022,Центральный ФО,Воронежская обл.,1442,72.18,187080.66,22571,31271,5828057.91,3.21,258.21,29829
Ноябрь 2022,Центральный ФО,Воронежская обл.,1552,70.31,88230.93,22044,31354,5655829.08,1.56,256.57,29802
Декабрь 2022,Центральный ФО,Воронежская обл.,1521,49.01,116068.59,15483,31593,4130554.74,2.81,266.78,30072
Январь 2023,Центральный ФО,Воронежская обл.,1686,64.83,176388.61,22453,34634,6484875.46,2.72,288.82,32948
Февраль 2023,Центральный ФО,Воронежская обл.,1718,71.25,210979.43,24936,34998,6613775.28,3.19,265.23,33280
Март 2023,Центральный ФО,Воронежская обл.,1668,66.17,105485.6,23530,35560,6511456.9,1.62,276.73,33892
Апрель 2023,Центральный ФО,Воронежская обл.,1661,65.8,97693.08,22214,33761,6427176.62,1.52,289.33,32100
Май 2023,Центральный ФО,Воронежская обл.,1745,57.01,95206.33,20280,35573,5667043.2,1.68,279.44,33828
Июнь 2023,Центральный ФО,Воронежская обл.,1555,25.79,88660.96,8768,33999,2577353.6,3.44,293.95,32444
Июль 2023,Центральный ФО,Воронежская обл.,1635,13.29,32007.43,4574,34424,1373709.42,2.33,300.33,32789
Август 2023,Центральный ФО,Воронежская обл.,1657,16.61,25349.13,5620,33837,1678750.2,1.51,298.71,32180
Сентябрь 2023,Центральный ФО,Воронежская обл.,1745,75.99,194997.33,27082,35640,7617083.32,2.56,281.26,33895
Октябрь 2023,Центральный ФО,Воронежская обл.,1603,71.46,150279.4,25181,35238,6893550.56,2.18,273.76,33635
Ноябрь 2023,Центральный ФО,Воронежская обл.,1597,71.49,190820.69,24306,34000,7093706.1,2.69,291.85,32403
Декабрь 2023,Центральный ФО,Воронежская обл.,1743,49.09,124007.62,17436,35519,5166984.24,2.4,296.34,33776
Январь 2024,Центральный ФО,Воронежская обл.,1791,68.58,138194.92,25815,37643,8637182.7,1.6,334.58,35852
Февраль 2024,Центральный ФО,Воронежская обл.,1853,70.82,237440.77,27320,38577,8215943.6,2.89,300.73,36724
Март 2024,Центральный ФО,Воронежская обл.,1771,67.93,196007.0,26256,38653,8485151.52,2.31,323.17,36882
Апрель 2024,Центральный ФО,Воронежская обл.,1812,69.64,123621.67,25743,36967,7678364.61,1.61,298.27,35155
Май 2024,Центральный ФО,Воронежская обл.,1765,55.82,149070.28,21571,38645,6538170.1,2.28,303.1,36880
Июнь 2024,Центральный ФО,Воронежская обл.,1847,25.58,83137.2,9780,38233,3247546.8,2.56,332.06,36386
Июль 2024,Центральный ФО,Воронежская обл.,1802,13.74,39637.24,5058,36813,1686691.26,2.35,333.47,35011
Август 2024,Центральный ФО,Воронежская обл.,1710,17.17,61565.4,6315,36784,1826866.35,3.37,289.29,35074
Сентябрь 2024,Центральный ФО,Воронежская обл.,1663,75.71,316901.15,27721,36615,9212242.72,3.44,332.32,34952
Октябрь 2024,Центральный ФО,Воронежская обл.,1834,74.04,297022.39,28671,38724,9281949.54,3.2,323.74,36890
Ноябрь 2024,Центральный ФО,Воронежская обл.,1786,73.51,130811.82,27912,37971,8439472.32,1.55,302.36,36185
Декабрь 2024,Центральный ФО,Воронежская обл.,1828,45.69,189941.54,17268,37794,5808609.84,3.27,336.38,35966
Январь 2022,Центральный ФО,Белгородская обл.,1108,67.72,70146.64,15519,22917,3963087.03,1.77,255.37,21809
Февраль 2022,Центральный ФО,Белгородская обл.,1097,71.73,105759.11,16840,23478,4083363.2,2.59,242.48,22381
Март 2022,Центральный ФО,Белгородская обл.,1075,70.92,77010.17,16681,23521,4010946.45,1.92,240.45,22446
Апрель 2022,Центральный ФО,Белгородская обл.,1083,71.18,114644.56,16248,22828,4123904.88,2.78,253.81,21745
Май 2022,Центральный ФО,Белгородская обл.,1112,56.74,72807.14,13139,23157,3235872.92,2.25,246.28,22045
Июнь 2022,Центральный ФО,Белгородская обл.,1078,26.61,36371.03,5982,22483,1609337.46,2.26,269.03,21405
Июль 2022,Центральный ФО,Белгородская обл.,1083,13.58,18117.47,3091,22766,751762.11,2.41,243.21,21683
Август 2022,Центральный ФО,Белгородская обл.,1139,17.16,26292.63,3936,22942,963099.84,2.73,244.69,21803
Февраль 2023,Центральный ФО,Белгородская обл.,1186,67.97,154279.98,17165,25254,5009090.3,3.08,291.82,24068
Сентябрь 2022,Центральный ФО,Белгородская обл.,1096,74.3,104370.87,17074,22980,4158201.96,2.51,243.54,21884
Октябрь 2022,Центральный ФО,Белгородская обл.,1088,74.67,77616.3,17638,23622,4360466.36,1.78,247.22,22534
Ноябрь 2022,Центральный ФО,Белгородская обл.,1124,68.88,134698.41,15827,22978,4069438.24,3.31,257.12,21854
Декабрь 2022,Центральный ФО,Белгородская обл.,1064,48.23,57676.79,11313,23458,2957783.85,1.95,261.45,22394
Январь 2023,Центральный ФО,Белгородская обл.,1189,68.79,171171.14,17824,25912,4918711.04,3.48,275.96,24723
Ноябрь 2023,Центральный ФО,Тульская обл.,1134,70.59,144399.44,16776,23766,4555187.28,3.17,271.53,22632
Март 2023,Центральный ФО,Белгородская обл.,1221,71.92,132927.32,18600,25863,4923234.0,2.7,264.69,24642
Апрель 2023,Центральный ФО,Белгородская обл.,1227,70.11,102741.93,17891,25519,4546103.1,2.26,254.1,24292
Май 2023,Центральный ФО,Белгородская обл.,1179,54.74,92500.65,14061,25688,4166696.13,2.22,296.33,24509
Июнь 2023,Центральный ФО,Белгородская обл.,1179,26.35,47850.68,6516,24731,1690836.84,2.83,259.49,23552
Июль 2023,Центральный ФО,Белгородская обл.,1262,12.9,14415.15,3304,25618,930009.92,1.55,281.48,24356
Август 2023,Центральный ФО,Белгородская обл.,1224,17.35,39237.33,4315,24872,1171263.6,3.35,271.44,23648
Сентябрь 2023,Центральный ФО,Белгородская обл.,1194,70.41,84111.25,17700,25139,5006622.0,1.68,282.86,23945
Октябрь 2023,Центральный ФО,Белгородская обл.,1139,73.66,134159.57,18138,24624,5199983.22,2.58,286.69,23485
Ноябрь 2023,Центральный ФО,Белгородская обл.,1264,67.7,127674.95,17562,25942,5046440.7,2.53,287.35,24678
Декабрь 2023,Центральный ФО,Белгородская обл.,1235,47.12,69007.8,11886,25226,3366234.06,2.05,283.21,23991
Январь 2024,Центральный ФО,Белгородская обл.,1326,65.79,123823.5,18110,27528,5786145.0,2.14,319.5,26202
Февраль 2024,Центральный ФО,Белгородская обл.,1302,69.26,133633.88,19342,27927,5345355.12,2.5,276.36,26625
Март 2024,Центральный ФО,Белгородская обл.,1342,65.71,119164.9,17924,27278,5392076.92,2.21,300.83,25936
Апрель 2024,Центральный ФО,Белгородская обл.,1273,70.04,172279.23,18898,26982,6002760.72,2.87,317.64,25709
Май 2024,Центральный ФО,Белгородская обл.,1263,55.82,107192.08,15144,27131,4850320.32,2.21,320.28,25868
Июнь 2024,Центральный ФО,Белгородская обл.,1358,26.75,46899.46,7334,27419,2344973.16,2.0,319.74,26061
Июль 2024,Центральный ФО,Белгородская обл.,1405,14.02,36580.14,3953,28201,1105140.21,3.31,279.57,26796
Август 2024,Центральный ФО,Белгородская обл.,1270,17.03,42788.41,4608,27059,1304524.8,3.28,283.1,25789
Сентябрь 2024,Центральный ФО,Белгородская обл.,1350,74.33,217385.41,20710,27863,6469804.0,3.36,312.4,26513
Октябрь 2024,Центральный ФО,Белгородская обл.,1335,72.85,109892.96,19767,27134,6071434.05,1.81,307.15,25799
Ноябрь 2024,Центральный ФО,Белгородская обл.,1299,72.06,191187.84,19812,27494,6108237.72,3.13,308.31,26195
Декабрь 2024,Центральный ФО,Белгородская обл.,1290,45.01,74026.37,12750,28328,3979912.5,1.86,312.15,27038
Январь 2022,Центральный ФО,Тульская обл.,1041,64.95,61192.83,13645,21009,3272343.9,1.87,239.82,19968
Февраль 2022,Центральный ФО,Тульская обл.,1040,70.2,109875.36,14984,21345,3896289.52,2.82,260.03,20305
Март 2022,Центральный ФО,Тульская обл.,1033,69.85,96413.34,14776,21154,3841168.96,2.51,259.96,20121
Апрель 2022,Центральный ФО,Тульская обл.,987,70.02,103380.92,14884,21257,3732163.0,2.77,250.75,20270
Май 2022,Центральный ФО,Тульская обл.,1009,54.4,63167.61,11285,20745,2567788.9,2.46,227.54,19736
Июнь 2022,Центральный ФО,Тульская обл.,1003,27.55,40764.13,5901,21420,1476961.29,2.76,250.29,20417
Июль 2022,Центральный ФО,Тульская обл.,940,13.99,11048.22,2866,20492,657632.36,1.68,229.46,19552
Август 2022,Центральный ФО,Тульская обл.,1015,16.52,17466.33,3547,21473,877705.15,1.99,247.45,20458
Сентябрь 2022,Центральный ФО,Тульская обл.,1011,77.03,133578.5,16429,21329,3827464.13,3.49,232.97,20318
Октябрь 2022,Центральный ФО,Тульская обл.,1034,75.23,99980.72,16136,21450,4218595.84,2.37,261.44,20416
Ноябрь 2022,Центральный ФО,Тульская обл.,995,67.82,72165.42,14028,20685,3221670.48,2.24,229.66,19690
Декабрь 2022,Центральный ФО,Тульская обл.,1004,46.42,80801.86,9870,21263,2557020.9,3.16,259.07,20259
Январь 2023,Центральный ФО,Тульская обл.,1061,64.59,71493.57,14960,23162,4230388.8,1.69,282.78,22101
Февраль 2023,Центральный ФО,Тульская обл.,1042,73.08,150626.55,16421,22471,4482933.0,3.36,273.0,21429
Март 2023,Центральный ФО,Тульская обл.,1089,66.77,114764.77,15543,23279,4330746.09,2.65,278.63,22190
Апрель 2023,Центральный ФО,Тульская обл.,1053,70.31,103068.26,15898,22612,4057805.52,2.54,255.24,21559
Май 2023,Центральный ФО,Тульская обл.,1054,58.65,66174.1,13460,22950,3738649.6,1.77,277.76,21896
Июнь 2023,Центральный ФО,Тульская обл.,1149,25.83,37892.63,5959,23071,1491835.65,2.54,250.35,21922
Июль 2023,Центральный ФО,Тульская обл.,1156,13.62,17307.12,3203,23518,910901.17,1.9,284.39,22362
Август 2023,Центральный ФО,Тульская обл.,1084,16.33,25467.55,3728,22831,968348.0,2.63,259.75,21747
Сентябрь 2023,Центральный ФО,Тульская обл.,1155,71.78,103541.88,16691,23254,4622405.54,2.24,276.94,22099
Октябрь 2023,Центральный ФО,Тульская обл.,1077,71.91,133839.79,16264,22618,4388189.84,3.05,269.81,21541
